term,estimate,std.error,statistic,p.value,month,variable
dateN,-6.509187967152164e-5,3.7037706067180425e-4,4119,0.8637456131590994,1,ppt
dateN,-1.8078537849169206e-5,5.472810174957627e-4,3870,0.4490759707700694,2,ppt
dateN,-4.653133805623012e-4,0.0012769255295142726,3582,0.15157632418111994,3,ppt
dateN,6.414106232006204e-5,0.0016193190374240206,4524,0.20284863150950752,4,ppt
dateN,-7.852821569782004e-4,0.002268513440339989,2769,0.002722749470729324,5,ppt
dateN,-5.958483233832934e-4,0.001695202913065029,2985,0.0134558185648637,6,ppt
dateN,0.0011879214515164113,0.0019065736847038409,6039,6.960134746603484e-7,7,ppt
dateN,5.187290068801407e-5,0.0023024582811218886,4986,0.016463666187671696,8,ppt
dateN,1.2990133602357153e-5,0.001980068360755125,3951,0.9050278370265782,9,ppt
dateN,2.564110324028448e-6,0.0015365962242679975,4131,0.7515902568790717,10,ppt
dateN,-7.039314847176149e-4,7.046259027403891e-4,1413,2.989247209762017e-10,11,ppt
dateN,1.339684120739921e-4,6.247819001769915e-4,4326,0.4287397616908818,12,ppt
