term,estimate,std.error,statistic,p.value,month,variable
dateN,-3.0364272435282056e-6,1.2444395545452094e-4,5058,0.042008207147485044,1,vpdmax
dateN,-2.4719620592288447e-5,1.4609059561324184e-4,3735,0.2826820046243571,2,vpdmax
dateN,2.450919763916956e-4,2.087873477854701e-4,7110,7.018746099072392e-12,3,vpdmax
dateN,4.2756020403826234e-5,1.3157318101720788e-4,5082,0.008483275520938636,4,vpdmax
dateN,1.8412229822610494e-4,3.541192274029874e-4,6183,1.0780218405746078e-7,5,vpdmax
dateN,6.087291082547827e-4,4.3876401872822233e-4,7422,8.081583920929206e-17,6,vpdmax
dateN,2.3746774419798174e-4,4.4138540258322254e-4,6180,1.1221025248753239e-7,7,vpdmax
dateN,2.807136516837937e-4,3.539355044459125e-4,6900,1.6789552767543556e-12,8,vpdmax
dateN,2.8169734549802236e-4,4.095305276032113e-4,6648,1.15367330451176e-10,9,vpdmax
dateN,3.069791454737525e-5,1.999782490666791e-4,5100,0.007451096695691422,10,vpdmax
dateN,2.2442460929551053e-4,2.4610013499483526e-4,6699,5.051070697382852e-11,11,vpdmax
dateN,7.396150091180248e-5,1.1895437183120973e-4,6561,4.5640911969738216e-10,12,vpdmax
